claim,categoria,spiegazione
Packaging composto al 90% da carta riciclata certificata FSC,Valido,Specifico e quantificato e supportato da certificazione.
Prodotto certificato secondo ISO 14001 e audit EMAS,Valido,Claim chiaro e verificabile secondo standard riconosciuti.
Emissioni CO2 ridotte del 35% rispetto al modello 2020,Valido,Quantificato e verificabile e comparativo.
Etichetta Ecolabel EU conforme al Regolamento CE 66/2010,Valido,Claim conforme a regolamento europeo.
Realizzato con 100% plastica riciclata post-consumo (certificata),Valido,Claim chiaro e con supporto verificabile.
A base vegetale,Ambiguo,Non specifica percentuali o componenti esatti.
Realizzato con materiali naturali,Ambiguo,Vago perchè non è chiaro cosa si intende per naturali.
Packaging ecosostenibile,Ambiguo,Claim troppo generico e non definito.
Riduce l'impatto ambientale,Ambiguo,Non è indicato cosa viene ridotto e nemmeno quanto.
Contribuisce alla sostenibilità,Ambiguo,Generico e non supportato da misurazioni o standard.
100% magico,Ingannevole,Claim privo di senso ambientale e potenzialmente fuorviante.
Ecologico per natura,Ingannevole,Privo di riferimenti concreti e anche se suona bene non è verificabile.
Senza CO2,Ingannevole,Assoluto e improbabile per qualsiasi prodotto fisico.
Zero impatto ambientale,Ingannevole,Non realisticamente sostenibile.
Amico del pianeta,Ingannevole,Claim emozionale è soggettivo e non misurabile.
Senza glutine,Irrilevante,Non ha relazione con la sostenibilità (su un prodotto non alimentare).
Privo di BPA,Irrilevante,Legato alla salute e non necessariamente all'ambiente.
Cruelty free,Irrilevante,Claim etico ma non collegato a impatto ambientale.
Made in Italy,Irrilevante,Origine geografica non implica Sostenibilità.
Adatto ai vegani,Irrilevante,Claim etico ma non ambientale.
Il prodotto più verde di sempre!,Marketing,Slogan iperbolico ma non verificabile.
Sostenibilità totale,Marketing,Assoluto e non realistico.
100% eco love,Marketing,Emozionale ma non informativo.
Il futuro è sostenibile (e lo siamo anche noi),Marketing,Slogan privo di contenuto misurabile.
Pensa green,Marketing,Frase promozionale ma non un vero claim tecnico.
Vivi green,Marketing,Frase promozionale ma non un vero claim tecnico.
100% sostenibile,Ingannevole, Claim generico
Senza CFC,Ingannevole,I CFC sono già vietati da anni
Ridotto impatto ambientale,Ambiguo, Potenzialmente valido ma da chiarire
Prodotto consapevole,Ingannevole,Claim generico
Senza microplastiche,Ambiguo,Claim da dimostrare o da chiarire
Amico del clima,Ingannevole,Claim generico
Completamente sostenibile,Ingannevole,Claim generico
100% Energia rinnovabile,Ambiguo,Claim potenzialmente valido ma da chiarire
0% emissioni nette,Ingannevole,Claim generico
A base di ingredienti naturali,Ambiguo,Claim potenzialmente valido ma da chiarire
Non contiene sostanze chimiche dannose per l'ambiente,Ambiguo,Claim potenzialmente valido ma da chiarire
Plastic free,Ambiguo,Claim potenzialmente valido ma da chiarire
Clima neutrale,Ingannevole,Claim generico
Auto sostenibile,Ingannevole,Claim generico
Auto realizzata con 50% parti riciclate ELVs (end of life vehicles) certificato e supportato da LCA,Valido,Claim conforme.
Auto realizzata con ELVs,Ingannevole,Claim generico privo di documentazione e non specifica percentuali.
Auto realizzata con parti riciclate ELVs (end of life vehicles),Ingannevole,Claim non supportato da documentazione
Auto 100% ecologica,Ingannevole,Nessuna vettura è 100% ecologica.
Emissioni ridotte del 30% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 20% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 50% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 70% rispetto a modello precedente (anno),Valido,Claim supportato da percentuale specifica benchmark.
Emissioni ridotte del 30%,Ingannevole,Non è indicato rispetto a cosa è ridotto.
Riduce l'inquinamento del 30%,Ingannevole, Non è supportato da certificazione e non è indicato rispetto a cosa è ridotto.
Riduce le emissioni di gas del 30% rispetto al modello precedente,Valido,Claim supportato e certificato.
Riduce le emissioni di gas del 70% rispetto al modello precedente,Valido,Claim supportato e certificato.
Riduce le emissioni di gas del 60% rispetto al modello 2024,Valido,Claim supportato e certificato.
Riduce le emissioni di gas del 50% rispetto al modello 2023,Valido,Claim supportato e certificato.
Riduce le emissioni di gas del 75% rispetto al vecchio modello,Valido,Claim supportato e certificato.
